key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_pos,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,trial,answer,height,width,x1,y1,stim_color1,probe_color1,copy_color1,x2,y2,stim_color2,probe_color2,copy_color2,x3,y3,stim_color3,probe_color3,copy_color3,x4,y4,stim_color4,probe_color4,copy_color4,x5,y5,stim_color5,probe_color5,copy_color5,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,completion_keys.keys,completion_keys.rt
c,36.223005,-0.075942164,-0.217348933,1,0,0,24.85956,probe3,"[-0.1,-0.2]",0,0,0,0,1,1,probe4,0.05,0.05,0.1,0.2,#0072b2,#0072b2,#0072b2,0.1,-0.1,#e69f00,#e69f00,#e69f00,-0.1,-0.2,#cc79a7,#cc79a7,#cc79a7,0.2,-0.1,#4A4A4A,#f0e442,#FFFFFF,0.2,0,#009e73,#009e73,#009e73,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,0.11379143,0.010071432,1,0,0,8.9457,probe3,"[0.1,0]",0,1,1,1,1,2,probe1,0.05,0.05,0.2,0,#d55e00,#009e73,#FFFFFF,0.2,-0.1,#e69f00,#e69f00,#e69f00,0.1,0,#4A4A4A,#4A4A4A,#4A4A4A,-0.1,0.1,#56b4e9,#56b4e9,#56b4e9,-0.1,0,#cc79a7,#cc79a7,#cc79a7,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.003167635,-0.113385359,1,0,0,5.51977,probe5,"[0,-0.1]",0,2,2,2,1,3,probe1,0.05,0.05,-0.2,-0.2,#f0e442,#009e73,#FFFFFF,0.2,-0.1,#d55e00,#d55e00,#d55e00,-0.2,0,#4A4A4A,#4A4A4A,#4A4A4A,-0.1,-0.1,#0072b2,#0072b2,#0072b2,0,-0.1,#56b4e9,#56b4e9,#56b4e9,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.205896681,-0.015919472,1,0,0,8.59797,probe4,"[-0.2,0]",0,3,3,3,1,4,probe1,0.05,0.05,0.2,0.2,#d55e00,#56b4e9,#FFFFFF,-0.2,0.2,#f0e442,#f0e442,#f0e442,0.2,-0.2,#0072b2,#0072b2,#0072b2,-0.2,0,#cc79a7,#cc79a7,#cc79a7,-0.2,0.1,#4A4A4A,#4A4A4A,#4A4A4A,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,0.004629795,0.208901843,1,0,0,5.6178,probe2,"[0,0.2]",0,4,4,4,1,5,probe3,0.05,0.05,-0.2,0.1,#56b4e9,#56b4e9,#56b4e9,0,0.2,#009e73,#009e73,#009e73,0,0.1,#0072b2,#cc79a7,#FFFFFF,-0.1,-0.1,#4A4A4A,#4A4A4A,#4A4A4A,0.2,0,#f0e442,#f0e442,#f0e442,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.212394407,-0.012020797,1,0,0,4.829675,probe3,"[-0.2,0]",0,5,5,5,1,6,probe5,0.05,0.05,-0.1,0.1,#f0e442,#f0e442,#f0e442,0,0.1,#009e73,#009e73,#009e73,-0.2,0,#4A4A4A,#4A4A4A,#4A4A4A,0,-0.2,#d55e00,#d55e00,#d55e00,0.1,0,#cc79a7,#0072b2,#FFFFFF,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.098034432,-0.19135803,1,0,0,2.590335,probe3,"[-0.1,-0.2]",0,6,6,6,1,7,probe2,0.05,0.05,-0.2,-0.2,#4A4A4A,#4A4A4A,#4A4A4A,0.1,0.2,#0072b2,#d55e00,#FFFFFF,-0.1,-0.2,#f0e442,#f0e442,#f0e442,-0.2,0.2,#009e73,#009e73,#009e73,0.2,0.2,#e69f00,#e69f00,#e69f00,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.191601684,-0.00292402,1,0,0,3.49624,probe4,"[-0.2,0]",0,7,7,7,1,8,probe1,0.05,0.05,0.1,-0.2,#009e73,#f0e442,#FFFFFF,-0.1,0,#d55e00,#d55e00,#d55e00,-0.1,0.1,#4A4A4A,#4A4A4A,#4A4A4A,-0.2,0,#cc79a7,#cc79a7,#cc79a7,0.2,0,#e69f00,#e69f00,#e69f00,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.073343074,0.206302792,1,0,0,7.44571,probe2,"[-0.1,0.2]",0,8,8,8,1,9,probe1,0.05,0.05,0.1,-0.2,#0072b2,#e69f00,#FFFFFF,-0.1,0.2,#f0e442,#f0e442,#f0e442,-0.2,0.1,#d55e00,#d55e00,#d55e00,0.2,0.2,#cc79a7,#cc79a7,#cc79a7,0.1,0.1,#56b4e9,#56b4e9,#56b4e9,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,0.091699163,-0.201754391,1,0,0,4.787655,probe4,"[0.1,-0.2]",0,9,9,9,1,10,probe1,0.05,0.05,-0.1,-0.1,#4A4A4A,#f0e442,#FFFFFF,0,0.2,#cc79a7,#cc79a7,#cc79a7,0.2,-0.2,#e69f00,#e69f00,#e69f00,0.1,-0.2,#009e73,#009e73,#009e73,0.1,0.1,#d55e00,#d55e00,#d55e00,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,,,,,,,
,,-0.014863462,-0.210851207,1,0,0,2.974185,probe4,"[0,-0.2]",,,,,,1,probe2,0.05,0.05,-0.2,0.2,#009e73,#009e73,,-0.1,0.2,#f0e442,#e69f00,,-0.1,0,#0072b2,#0072b2,,0,-0.2,#cc79a7,#cc79a7,,0,0.2,#d55e00,#d55e00,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,c,8.338225,0,0,0,0,1,,
,,-0.018762177,-0.106887634,1,0,0,2.78229,probe5,"[0,-0.1]",,,,,,2,probe5,0.05,0.05,0,0.1,#009e73,#009e73,,0.2,0.1,#4A4A4A,#4A4A4A,,-0.1,-0.1,#cc79a7,#cc79a7,,0.1,0.1,#d55e00,#d55e00,,0,-0.1,#56b4e9,#e69f00,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,0,1,1,1,1,,
,,-0.090237161,0.099740088,1,0,0,3.87461,probe4,"[-0.1,0.1]",,,,,,3,probe4,0.05,0.05,0.1,-0.1,#56b4e9,#56b4e9,,0.2,0,#f0e442,#f0e442,,0.2,-0.1,#e69f00,#e69f00,,-0.1,0.1,#4A4A4A,#009e73,,-0.1,0.2,#d55e00,#d55e00,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,0,2,2,2,1,,
,,-0.203297591,-0.204353482,1,0,0,4.07452,probe2,"[-0.2,-0.2]",,,,,,4,probe5,0.05,0.05,0.2,0,#56b4e9,#56b4e9,,-0.2,-0.2,#cc79a7,#cc79a7,,0,0.2,#4A4A4A,#4A4A4A,,0.2,-0.2,#e69f00,#e69f00,,-0.2,0,#f0e442,#009e73,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,0,3,3,3,1,,
,,-0.094135717,-0.096491233,1,0,0,2.25086,probe3,"[-0.1,-0.1]",,,,,,5,probe3,0.05,0.05,-0.2,0.1,#4A4A4A,#4A4A4A,,0.2,0.2,#009e73,#009e73,,-0.1,-0.1,#0072b2,#f0e442,,0.2,0,#cc79a7,#cc79a7,,0.1,0.1,#e69f00,#e69f00,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,0,4,4,4,1,,
,,-0.00706627,0.198505521,1,0,0,4.87487,probe4,"[0,0.2]",,,,,,6,probe4,0.05,0.05,-0.1,0.1,#d55e00,#d55e00,,-0.2,0.2,#0072b2,#0072b2,,0,-0.1,#e69f00,#e69f00,,0,0.2,#56b4e9,#4A4A4A,,-0.2,-0.2,#009e73,#009e73,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,0,5,5,5,1,,
,,0.204759592,0.203703682,1,0,0,1.887395,probe4,"[0.2,0.2]",,,,,,7,probe4,0.05,0.05,0.2,-0.1,#56b4e9,#56b4e9,,-0.1,-0.1,#e69f00,#e69f00,,-0.2,0.2,#009e73,#009e73,,0.2,0.2,#cc79a7,#4A4A4A,,0.2,-0.2,#d55e00,#d55e00,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,0,6,6,6,1,,
,,-0.213693952,0.202404117,1,0,0,4.098605,probe4,"[-0.2,0.2]",,,,,,8,probe4,0.05,0.05,-0.2,0.1,#e69f00,#e69f00,,0.1,0.2,#cc79a7,#cc79a7,,0.2,0.1,#4A4A4A,#4A4A4A,,-0.2,0.2,#56b4e9,#d55e00,,0.2,-0.1,#0072b2,#0072b2,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,0,7,7,7,1,,
,,-0.208495771,0.103638723,1,0,0,5.101265,probe3,"[-0.2,0.1]",,,,,,9,probe5,0.05,0.05,-0.1,0,#4A4A4A,#4A4A4A,,0.1,0.1,#56b4e9,#56b4e9,,-0.2,0.1,#009e73,#009e73,,0.2,0.1,#cc79a7,#cc79a7,,0.2,0.2,#d55e00,#f0e442,,A18JQFU6QCTI6G,001,2020-12-11_20h42.36.601,change-localization,2020.1.2,Win32,60,,,0,8,8,8,1,,
