key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_pos,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,trial,answer,height,width,x1,y1,stim_color1,probe_color1,copy_color1,x2,y2,stim_color2,probe_color2,copy_color2,x3,y3,stim_color3,probe_color3,copy_color3,x4,y4,stim_color4,probe_color4,copy_color4,x5,y5,stim_color5,probe_color5,copy_color5,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,completion_keys.keys,completion_keys.rt
c,12.040015,0.219345025,-0.092057631,1,0,0,6.503755,probe4,"[0.2,-0.1]",0,0,0,0,1,1,probe4,0.05,0.05,0.1,0.2,#0072b2,#0072b2,#0072b2,0.1,-0.1,#e69f00,#e69f00,#e69f00,-0.1,-0.2,#cc79a7,#cc79a7,#cc79a7,0.2,-0.1,#4A4A4A,#f0e442,#FFFFFF,0.2,0,#009e73,#009e73,#009e73,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.104079115,-0.01580068,1,0,0,1.63129,probe3,"[0.1,0]",0,1,1,1,1,2,probe1,0.05,0.05,0.2,0,#d55e00,#009e73,#FFFFFF,0.2,-0.1,#e69f00,#e69f00,#e69f00,0.1,0,#4A4A4A,#4A4A4A,#4A4A4A,-0.1,0.1,#56b4e9,#56b4e9,#56b4e9,-0.1,0,#cc79a7,#cc79a7,#cc79a7,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.203606974,-0.211021322,1,0,0,1.613645,probe1,"[-0.2,-0.2]",0,2,2,2,1,3,probe1,0.05,0.05,-0.2,-0.2,#f0e442,#009e73,#FFFFFF,0.2,-0.1,#d55e00,#d55e00,#d55e00,-0.2,0,#4A4A4A,#4A4A4A,#4A4A4A,-0.1,-0.1,#0072b2,#0072b2,#0072b2,0,-0.1,#56b4e9,#56b4e9,#56b4e9,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.201721124,0.197344666,1,0,0,1.20792,probe1,"[0.2,0.2]",0,3,3,3,1,4,probe1,0.05,0.05,0.2,0.2,#d55e00,#56b4e9,#FFFFFF,-0.2,0.2,#f0e442,#f0e442,#f0e442,0.2,-0.2,#0072b2,#0072b2,#0072b2,-0.2,0,#cc79a7,#cc79a7,#cc79a7,-0.2,0.1,#4A4A4A,#4A4A4A,#4A4A4A,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.002024807,0.090164151,1,0,0,1.907805,probe3,"[0,0.1]",0,4,4,4,1,5,probe3,0.05,0.05,-0.2,0.1,#56b4e9,#56b4e9,#56b4e9,0,0.2,#009e73,#009e73,#009e73,0,0.1,#0072b2,#cc79a7,#FFFFFF,-0.1,-0.1,#4A4A4A,#4A4A4A,#4A4A4A,0.2,0,#f0e442,#f0e442,#f0e442,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.018274536,0.092260132,1,0,0,3.9016,probe2,"[0,0.1]",0,5,5,5,1,6,probe5,0.05,0.05,-0.1,0.1,#f0e442,#f0e442,#f0e442,0,0.1,#009e73,#009e73,#009e73,-0.2,0,#4A4A4A,#4A4A4A,#4A4A4A,0,-0.2,#d55e00,#d55e00,#d55e00,0.1,0,#cc79a7,#0072b2,#FFFFFF,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.085876465,0.200544501,1,0,0,1.57775,probe2,"[0.1,0.2]",0,6,6,6,1,7,probe2,0.05,0.05,-0.2,-0.2,#4A4A4A,#4A4A4A,#4A4A4A,0.1,0.2,#0072b2,#d55e00,#FFFFFF,-0.1,-0.2,#f0e442,#f0e442,#f0e442,-0.2,0.2,#009e73,#009e73,#009e73,0.2,0.2,#e69f00,#e69f00,#e69f00,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.201203342,-0.008283929,1,0,0,4.22887,probe5,"[0.2,0]",0,7,7,7,1,8,probe1,0.05,0.05,0.1,-0.2,#009e73,#f0e442,#FFFFFF,-0.1,0,#d55e00,#d55e00,#d55e00,-0.1,0.1,#4A4A4A,#4A4A4A,#4A4A4A,-0.2,0,#cc79a7,#cc79a7,#cc79a7,0.2,0,#e69f00,#e69f00,#e69f00,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.195251058,0.204715305,1,0,0,1.398045,probe4,"[0.2,0.2]",0,8,8,8,1,9,probe1,0.05,0.05,0.1,-0.2,#0072b2,#e69f00,#FFFFFF,-0.1,0.2,#f0e442,#f0e442,#f0e442,-0.2,0.1,#d55e00,#d55e00,#d55e00,0.2,0.2,#cc79a7,#cc79a7,#cc79a7,0.1,0.1,#56b4e9,#56b4e9,#56b4e9,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.10702813,0.093840061,1,0,0,1.694555,probe5,"[0.1,0.1]",0,9,9,9,1,10,probe1,0.05,0.05,-0.1,-0.1,#4A4A4A,#f0e442,#FFFFFF,0,0.2,#cc79a7,#cc79a7,#cc79a7,0.2,-0.2,#e69f00,#e69f00,#e69f00,0.1,-0.2,#009e73,#009e73,#009e73,0.1,0.1,#d55e00,#d55e00,#d55e00,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.1908589,0.193312141,1,0,0,2.18617,probe1,"[-0.2,0.2]",,,,,,1,probe2,0.05,0.05,-0.2,0.2,#009e73,#009e73,,-0.1,0.2,#f0e442,#e69f00,,-0.1,0,#0072b2,#0072b2,,0,-0.2,#cc79a7,#cc79a7,,0,0.2,#d55e00,#d55e00,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,c,4.1571,0,0,0,0,1,,
,,-0.008370429,-0.099327935,1,0,0,1.197105,probe5,"[0,-0.1]",,,,,,2,probe5,0.05,0.05,0,0.1,#009e73,#009e73,,0.2,0.1,#4A4A4A,#4A4A4A,,-0.1,-0.1,#cc79a7,#cc79a7,,0.1,0.1,#d55e00,#d55e00,,0,-0.1,#56b4e9,#e69f00,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,1,1,1,1,,
,,-0.11314365,0.08841607,1,0,0,1.38864,probe4,"[-0.1,0.1]",,,,,,3,probe4,0.05,0.05,0.1,-0.1,#56b4e9,#56b4e9,,0.2,0,#f0e442,#f0e442,,0.2,-0.1,#e69f00,#e69f00,,-0.1,0.1,#4A4A4A,#009e73,,-0.1,0.2,#d55e00,#d55e00,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,2,2,2,1,,
,,-0.167355889,-0.004964464,1,0,0,1.574435,probe5,"[-0.2,0]",,,,,,4,probe5,0.05,0.05,0.2,0,#56b4e9,#56b4e9,,-0.2,-0.2,#cc79a7,#cc79a7,,0,0.2,#4A4A4A,#4A4A4A,,0.2,-0.2,#e69f00,#e69f00,,-0.2,0,#f0e442,#009e73,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,3,3,3,1,,
,,-0.086223687,-0.101681112,1,0,0,1.39928,probe3,"[-0.1,-0.1]",,,,,,5,probe3,0.05,0.05,-0.2,0.1,#4A4A4A,#4A4A4A,,0.2,0.2,#009e73,#009e73,,-0.1,-0.1,#0072b2,#f0e442,,0.2,0,#cc79a7,#cc79a7,,0.1,0.1,#e69f00,#e69f00,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,4,4,4,1,,
,,0.010165134,-0.103789741,1,0,0,1.5612,probe3,"[0,-0.1]",,,,,,6,probe4,0.05,0.05,-0.1,0.1,#d55e00,#d55e00,,-0.2,0.2,#0072b2,#0072b2,,0,-0.1,#e69f00,#e69f00,,0,0.2,#56b4e9,#4A4A4A,,-0.2,-0.2,#009e73,#009e73,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,5,5,5,1,,
,,-0.087767673,-0.103855523,1,0,0,4.099505,probe2,"[-0.1,-0.1]",,,,,,7,probe4,0.05,0.05,0.2,-0.1,#56b4e9,#56b4e9,,-0.1,-0.1,#e69f00,#e69f00,,-0.2,0.2,#009e73,#009e73,,0.2,0.2,#cc79a7,#4A4A4A,,0.2,-0.2,#d55e00,#d55e00,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,6,6,6,1,,
,,0.11401062,0.199324103,1,0,0,1.316985,probe2,"[0.1,0.2]",,,,,,8,probe4,0.05,0.05,-0.2,0.1,#e69f00,#e69f00,,0.1,0.2,#cc79a7,#cc79a7,,0.2,0.1,#4A4A4A,#4A4A4A,,-0.2,0.2,#56b4e9,#d55e00,,0.2,-0.1,#0072b2,#0072b2,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,7,7,7,1,,
,,0.187568902,0.182007853,1,0,0,0.92102,probe5,"[0.2,0.2]",,,,,,9,probe5,0.05,0.05,-0.1,0,#4A4A4A,#4A4A4A,,0.1,0.1,#56b4e9,#56b4e9,,-0.2,0.1,#009e73,#009e73,,0.2,0.1,#cc79a7,#cc79a7,,0.2,0.2,#d55e00,#f0e442,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,8,8,8,1,,
,,-0.205135837,0.103874308,1,0,0,1.25474,probe4,"[-0.2,0.1]",,,,,,10,probe3,0.05,0.05,0.2,0.2,#f0e442,#f0e442,,0.1,-0.1,#e69f00,#e69f00,,0,0.1,#cc79a7,#4A4A4A,,-0.2,0.1,#56b4e9,#56b4e9,,0.2,0,#0072b2,#0072b2,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,9,9,9,1,,
,,0.103045451,-0.194173923,1,0,0,1.31353,probe5,"[0.1,-0.2]",,,,,,11,probe5,0.05,0.05,0.2,0.2,#4A4A4A,#4A4A4A,,0.1,0.2,#0072b2,#0072b2,,0.1,-0.1,#cc79a7,#cc79a7,,0,-0.2,#009e73,#009e73,,0.1,-0.2,#f0e442,#d55e00,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,10,10,10,1,,
,,-0.028872884,-0.09004008,1,0,0,3.73852,probe5,"[0,-0.1]",,,,,,12,probe4,0.05,0.05,-0.1,-0.1,#009e73,#009e73,,-0.1,0,#56b4e9,#56b4e9,,-0.1,-0.2,#0072b2,#0072b2,,0.1,0,#d55e00,#f0e442,,0,-0.1,#cc79a7,#cc79a7,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,11,11,11,1,,
,,0.10113878,0.086486918,1,0,0,1.60348,probe3,"[0.1,0.1]",,,,,,13,probe4,0.05,0.05,0,-0.1,#f0e442,#f0e442,,0.1,-0.1,#d55e00,#d55e00,,0.1,0.1,#0072b2,#0072b2,,-0.2,0.2,#cc79a7,#4A4A4A,,0.1,0.2,#009e73,#009e73,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,12,12,12,1,,
,,-0.183989461,0.002117343,1,0,0,1.262815,probe3,"[-0.2,0]",,,,,,14,probe5,0.05,0.05,0,0.2,#cc79a7,#cc79a7,,0,-0.1,#4A4A4A,#4A4A4A,,-0.2,0,#56b4e9,#56b4e9,,0.1,0.1,#0072b2,#0072b2,,0.1,0.2,#009e73,#e69f00,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,13,13,13,1,,
,,0.089118991,-0.107479451,1,0,0,0.941305,probe4,"[0.1,-0.1]",,,,,,15,probe3,0.05,0.05,0.2,0.2,#cc79a7,#cc79a7,,0,0.2,#56b4e9,#56b4e9,,0.2,0.1,#d55e00,#4A4A4A,,0.1,-0.1,#f0e442,#f0e442,,0.2,-0.1,#0072b2,#0072b2,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,14,14,14,1,,
,,0.117161187,0.103296712,1,0,0,1.19685,probe3,"[0.1,0.1]",,,,,,16,probe3,0.05,0.05,-0.2,-0.1,#f0e442,#f0e442,,-0.2,0.2,#d55e00,#d55e00,,0.1,0.1,#009e73,#4A4A4A,,-0.2,0.1,#56b4e9,#56b4e9,,0,-0.1,#cc79a7,#cc79a7,,A2SFXQNHI25JR,001,2020-12-13_02h34.31.793,change-localization,2020.1.2,MacIntel,60,,,0,15,15,15,1,,
