key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.clicked_pos,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,trial,answer,height,width,x1,y1,stim_color1,probe_color1,copy_color1,x2,y2,stim_color2,probe_color2,copy_color2,x3,y3,stim_color3,probe_color3,copy_color3,x4,y4,stim_color4,probe_color4,copy_color4,x5,y5,stim_color5,probe_color5,copy_color5,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,completion_keys.keys,completion_keys.rt
c,15.5064,0.105209351,-0.09228007,1,0,0,2.45705,probe2,"[0.1,-0.1]",0,0,0,0,1,1,probe4,0.05,0.05,0.1,0.2,#0072b2,#0072b2,#0072b2,0.1,-0.1,#e69f00,#e69f00,#e69f00,-0.1,-0.2,#cc79a7,#cc79a7,#cc79a7,0.2,-0.1,#4A4A4A,#f0e442,#FFFFFF,0.2,0,#009e73,#009e73,#009e73,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.200749715,-0.091211955,1,0,0,3.84363,probe2,"[0.2,-0.1]",0,1,1,1,1,2,probe1,0.05,0.05,0.2,0,#d55e00,#009e73,#FFFFFF,0.2,-0.1,#e69f00,#e69f00,#e69f00,0.1,0,#4A4A4A,#4A4A4A,#4A4A4A,-0.1,0.1,#56b4e9,#56b4e9,#56b4e9,-0.1,0,#cc79a7,#cc79a7,#cc79a7,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.001256307,-0.103418986,1,0,0,1.00116,probe5,"[0,-0.1]",0,2,2,2,1,3,probe1,0.05,0.05,-0.2,-0.2,#f0e442,#009e73,#FFFFFF,0.2,-0.1,#d55e00,#d55e00,#d55e00,-0.2,0,#4A4A4A,#4A4A4A,#4A4A4A,-0.1,-0.1,#0072b2,#0072b2,#0072b2,0,-0.1,#56b4e9,#56b4e9,#56b4e9,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.18884786,-0.204452515,1,0,0,4.662235,probe3,"[0.2,-0.2]",0,3,3,3,1,4,probe1,0.05,0.05,0.2,0.2,#d55e00,#56b4e9,#FFFFFF,-0.2,0.2,#f0e442,#f0e442,#f0e442,0.2,-0.2,#0072b2,#0072b2,#0072b2,-0.2,0,#cc79a7,#cc79a7,#cc79a7,-0.2,0.1,#4A4A4A,#4A4A4A,#4A4A4A,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.002166748,0.104456584,1,0,0,1.337325,probe3,"[0,0.1]",0,4,4,4,1,5,probe3,0.05,0.05,-0.2,0.1,#56b4e9,#56b4e9,#56b4e9,0,0.2,#009e73,#009e73,#009e73,0,0.1,#0072b2,#cc79a7,#FFFFFF,-0.1,-0.1,#4A4A4A,#4A4A4A,#4A4A4A,0.2,0,#f0e442,#f0e442,#f0e442,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.001597087,-0.209289551,1,0,0,1.86112,probe4,"[0,-0.2]",0,5,5,5,1,6,probe5,0.05,0.05,-0.1,0.1,#f0e442,#f0e442,#f0e442,0,0.1,#009e73,#009e73,#009e73,-0.2,0,#4A4A4A,#4A4A4A,#4A4A4A,0,-0.2,#d55e00,#d55e00,#d55e00,0.1,0,#cc79a7,#0072b2,#FFFFFF,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.102462769,0.197209676,1,0,0,1.35292,probe2,"[0.1,0.2]",0,6,6,6,1,7,probe2,0.05,0.05,-0.2,-0.2,#4A4A4A,#4A4A4A,#4A4A4A,0.1,0.2,#0072b2,#d55e00,#FFFFFF,-0.1,-0.2,#f0e442,#f0e442,#f0e442,-0.2,0.2,#009e73,#009e73,#009e73,0.2,0.2,#e69f00,#e69f00,#e69f00,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.205963135,-0.001714071,1,0,0,1.257345,probe5,"[0.2,0]",0,7,7,7,1,8,probe1,0.05,0.05,0.1,-0.2,#009e73,#f0e442,#FFFFFF,-0.1,0,#d55e00,#d55e00,#d55e00,-0.1,0.1,#4A4A4A,#4A4A4A,#4A4A4A,-0.2,0,#cc79a7,#cc79a7,#cc79a7,0.2,0,#e69f00,#e69f00,#e69f00,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.100036621,0.202545166,1,0,0,1.75517,probe2,"[-0.1,0.2]",0,8,8,8,1,9,probe1,0.05,0.05,0.1,-0.2,#0072b2,#e69f00,#FFFFFF,-0.1,0.2,#f0e442,#f0e442,#f0e442,-0.2,0.1,#d55e00,#d55e00,#d55e00,0.2,0.2,#cc79a7,#cc79a7,#cc79a7,0.1,0.1,#56b4e9,#56b4e9,#56b4e9,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,0.110239665,0.089436849,1,0,0,4.461765,probe5,"[0.1,0.1]",0,9,9,9,1,10,probe1,0.05,0.05,-0.1,-0.1,#4A4A4A,#f0e442,#FFFFFF,0,0.2,#cc79a7,#cc79a7,#cc79a7,0.2,-0.2,#e69f00,#e69f00,#e69f00,0.1,-0.2,#009e73,#009e73,#009e73,0.1,0.1,#d55e00,#d55e00,#d55e00,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,,,,,,,
,,-0.077494303,0.204559326,1,0,0,1.18572,probe2,"[-0.1,0.2]",,,,,,1,probe2,0.05,0.05,-0.2,0.2,#009e73,#009e73,,-0.1,0.2,#f0e442,#e69f00,,-0.1,0,#0072b2,#0072b2,,0,-0.2,#cc79a7,#cc79a7,,0,0.2,#d55e00,#d55e00,,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,c,2.29633,0,0,0,0,1,,
,,-0.103276571,-0.099782308,1,0,0,1.47069,probe3,"[-0.1,-0.1]",,,,,,2,probe5,0.05,0.05,0,0.1,#009e73,#009e73,,0.2,0.1,#4A4A4A,#4A4A4A,,-0.1,-0.1,#cc79a7,#cc79a7,,0.1,0.1,#d55e00,#d55e00,,0,-0.1,#56b4e9,#e69f00,,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,0,1,1,1,1,,
,,0.199432373,-0.108062744,1,0,0,2.289795,probe3,"[0.2,-0.1]",,,,,,3,probe4,0.05,0.05,0.1,-0.1,#56b4e9,#56b4e9,,0.2,0,#f0e442,#f0e442,,0.2,-0.1,#e69f00,#e69f00,,-0.1,0.1,#4A4A4A,#009e73,,-0.1,0.2,#d55e00,#d55e00,,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,0,2,2,2,1,,
,,-0.21291097,0.000935872,1,0,0,1.219665,probe5,"[-0.2,0]",,,,,,4,probe5,0.05,0.05,0.2,0,#56b4e9,#56b4e9,,-0.2,-0.2,#cc79a7,#cc79a7,,0,0.2,#4A4A4A,#4A4A4A,,0.2,-0.2,#e69f00,#e69f00,,-0.2,0,#f0e442,#009e73,,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,0,3,3,3,1,,
,,-0.196726481,0.097162882,1,0,0,2.47294,probe1,"[-0.2,0.1]",,,,,,5,probe3,0.05,0.05,-0.2,0.1,#4A4A4A,#4A4A4A,,0.2,0.2,#009e73,#009e73,,-0.1,-0.1,#0072b2,#f0e442,,0.2,0,#cc79a7,#cc79a7,,0.1,0.1,#e69f00,#e69f00,,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,0,4,4,4,1,,
,,-0.001413981,0.197606405,1,0,0,1.587145,probe4,"[0,0.2]",,,,,,6,probe4,0.05,0.05,-0.1,0.1,#d55e00,#d55e00,,-0.2,0.2,#0072b2,#0072b2,,0,-0.1,#e69f00,#e69f00,,0,0.2,#56b4e9,#4A4A4A,,-0.2,-0.2,#009e73,#009e73,,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,0,5,5,5,1,,
,,-0.203653971,0.192062378,1,0,0,1.63819,probe3,"[-0.2,0.2]",,,,,,7,probe4,0.05,0.05,0.2,-0.1,#56b4e9,#56b4e9,,-0.1,-0.1,#e69f00,#e69f00,,-0.2,0.2,#009e73,#009e73,,0.2,0.2,#cc79a7,#4A4A4A,,0.2,-0.2,#d55e00,#d55e00,,AKZUP3VY594E8,001,2020-12-12_13h10.07.336,change-localization,2020.1.2,MacIntel,60,,,0,6,6,6,1,,
